,close,volume
2005-04-01,,
2005-04-04,,
2005-04-05,,
2005-04-06,,
2005-04-07,,
2005-04-08,1003.45,1476252600.0
2005-04-11,995.42,1593606600.0
2005-04-12,978.7,1022619300.0
2005-04-13,1000.9,1607168700.0
2005-04-14,986.98,1294571000.0
2005-04-15,974.08,1040895500.0
2005-04-18,963.77,859840000.0
2005-04-19,965.89,921262300.0
2005-04-20,950.87,885070500.0
2005-04-21,943.98,994614500.0
2005-04-22,939.1,1069188400.0
2005-04-25,930.07,1147047800.0
2005-04-26,937.08,1169047100.0
2005-04-27,926.6,1078061100.0
2005-04-28,942.07,1434348600.0
2005-04-29,932.39,1123541900.0
2005-05-09,909.17,852911500.0
2005-05-10,913.08,1049433100.0
2005-05-11,901.85,904204700.0
2005-05-12,885.82,1022872000.0
2005-05-13,887.54,1124490600.0
2005-05-16,875.27,822428800.0
2005-05-17,881.46,877227300.0
2005-05-18,883.2,787861000.0
2005-05-19,884.17,814958300.0
2005-05-20,882.76,722667600.0
2005-05-23,863.34,727979500.0
2005-05-24,868.46,920692900.0
2005-05-25,868.45,723855600.0
2005-05-26,857.33,662278600.0
2005-05-27,849.51,774998300.0
2005-05-30,855.61,697158300.0
2005-05-31,855.95,704782100.0
2005-06-01,837.53,790230200.0
2005-06-02,818.38,950865700.0
2005-06-03,818.03,793605600.0
2005-06-06,839.0,900918500.0
2005-06-07,837.28,1306706800.0
2005-06-08,905.77,3290783900.0
2005-06-09,912.6,3314184000.0
2005-06-10,894.56,2239150200.0
2005-06-13,892.96,1562800200.0
2005-06-14,883.54,1434357000.0
2005-06-15,866.83,1145405600.0
2005-06-16,879.24,1104968500.0
2005-06-17,880.35,1496300900.0
2005-06-20,906.25,1899208200.0
2005-06-21,896.17,1277478400.0
2005-06-22,900.65,1047813400.0
2005-06-23,893.57,950930800.0
2005-06-24,898.3,891873900.0
2005-06-27,916.04,1654540200.0
2005-06-28,903.72,1040221900.0
2005-06-29,898.9,1080674600.0
2005-06-30,878.69,1085547200.0
2005-07-01,859.49,1009459700.0
2005-07-04,855.93,884027700.0
2005-07-05,849.68,799268800.0
2005-07-06,842.56,689831400.0
2005-07-07,844.73,596246500.0
2005-07-08,829.49,722100000.0
2005-07-11,824.1,843900600.0
2005-07-12,851.82,1498987100.0
2005-07-13,846.23,939884200.0
2005-07-14,849.59,936196800.0
2005-07-15,841.0,888956300.0
2005-07-18,833.0,850000600.0
2005-07-19,835.61,789181800.0
2005-07-20,842.64,852647300.0
2005-07-21,843.99,836610100.0
2005-07-22,859.69,2163097600.0
2005-07-25,856.86,1181608000.0
2005-07-26,876.48,2182677600.0
2005-07-27,894.01,2040953700.0
2005-07-28,890.88,2062252700.0
2005-07-29,888.16,1339740600.0
2005-08-01,891.61,1180830900.0
2005-08-02,903.6,1429254700.0
2005-08-03,909.57,2578629800.0
2005-08-04,904.15,1451925600.0
2005-08-05,923.8,1912376500.0
2005-08-08,927.47,2160894400.0
2005-08-09,933.09,1953290700.0
2005-08-10,940.37,2151576300.0
2005-08-11,953.99,2707366600.0
2005-08-12,938.32,2916814400.0
2005-08-15,954.5,2043081300.0
2005-08-16,945.06,2386181800.0
2005-08-17,953.01,2145776900.0
2005-08-18,920.67,3185532700.0
2005-08-19,923.04,2224267900.0
2005-08-22,931.67,1603101000.0
2005-08-23,923.41,1540648800.0
2005-08-24,930.65,1595974700.0
2005-08-25,930.12,1629205700.0
2005-08-26,928.26,1542980400.0
2005-08-29,917.37,1546226100.0
2005-08-30,914.88,1243817000.0
2005-08-31,927.92,1462363000.0
2005-09-01,944.56,2230638400.0
2005-09-02,947.87,1861443800.0
2005-09-05,952.72,1784331800.0
2005-09-06,936.61,2122225500.0
2005-09-07,952.76,1960846600.0
2005-09-08,955.28,2242439300.0
2005-09-09,949.07,1621931000.0
2005-09-12,949.51,1167261300.0
2005-09-13,963.77,1657943100.0
2005-09-14,970.19,1995829100.0
2005-09-15,969.6,1637767900.0
2005-09-16,967.5,1397857100.0
2005-09-19,971.14,1473742100.0
2005-09-20,961.92,1863660400.0
2005-09-21,944.41,1854189500.0
2005-09-22,923.27,1811552500.0
2005-09-23,916.15,1154764400.0
2005-09-26,918.49,883624100.0
2005-09-27,904.21,1108605600.0
2005-09-28,903.72,885031000.0
2005-09-29,915.98,1193897800.0
2005-09-30,917.39,900143300.0
2005-10-10,907.32,715845100.0
2005-10-11,919.72,775829500.0
2005-10-12,923.49,1220885200.0
2005-10-13,916.5,1082890400.0
2005-10-14,904.83,1012394000.0
2005-10-17,897.62,1055250600.0
2005-10-18,902.37,1136631700.0
2005-10-19,898.74,1103304800.0
2005-10-20,899.91,1260872500.0
2005-10-21,904.41,1136458800.0
2005-10-24,906.65,921898200.0
2005-10-25,894.27,1121340100.0
2005-10-26,875.82,1216712300.0
2005-10-27,875.85,1190858800.0
2005-10-28,867.73,1197337600.0
2005-10-31,876.28,1044365100.0
2005-11-01,872.87,1008274500.0
2005-11-02,882.48,1310497300.0
2005-11-03,874.58,1217918200.0
2005-11-04,878.36,956731000.0
2005-11-07,877.28,771325900.0
2005-11-08,881.52,1012876100.0
2005-11-09,879.25,1177440500.0
2005-11-10,862.97,1085377100.0
2005-11-11,864.79,921972000.0
2005-11-14,862.15,627167400.0
2005-11-15,856.63,825247800.0
2005-11-16,863.12,906613800.0
2005-11-17,862.66,881163700.0
2005-11-18,882.24,1759780300.0
2005-11-21,883.87,1025996300.0
2005-11-22,869.62,1059723600.0
2005-11-23,876.23,991692000.0
2005-11-24,881.49,1462900800.0
2005-11-25,884.11,1300354600.0
2005-11-28,880.17,973973500.0
2005-11-29,871.31,841499400.0
2005-11-30,873.83,804073800.0
2005-12-01,873.07,706923500.0
2005-12-02,869.94,849202100.0
2005-12-05,859.61,1028689700.0
2005-12-06,866.08,1030351400.0
2005-12-07,873.84,984295500.0
2005-12-08,874.06,1025917400.0
2005-12-09,887.36,1271952600.0
2005-12-12,888.52,1069928000.0
2005-12-13,889.1,1054723800.0
2005-12-14,898.15,1386837600.0
2005-12-15,896.43,1625978200.0
2005-12-16,902.56,1145210700.0
2005-12-19,902.91,993632700.0
2005-12-20,907.32,1029465900.0
2005-12-21,903.14,1027397600.0
2005-12-22,908.75,894702600.0
2005-12-23,915.89,1190699900.0
2005-12-26,922.38,1534265000.0
2005-12-27,919.36,1205035900.0
2005-12-28,920.92,1213103200.0
2005-12-29,932.03,1725495900.0
2005-12-30,923.45,1560025100.0
2006-01-04,941.43,2112689900.0
2006-01-05,959.13,2731174300.0
2006-01-06,970.03,3028636800.0
2006-01-09,975.25,2432955200.0
2006-01-10,978.15,2273530200.0
2006-01-11,973.48,2652413800.0
