,index,name
0,801020,采掘I
1,801110,家用电器I
2,801160,公用事业I
3,801060,建筑建材I
4,801010,农林牧渔I
5,801120,食品饮料I
6,801050,有色金属I
7,801170,交通运输I
8,801090,交运设备I
9,801130,纺织服装I
10,801180,房地产I
11,801220,信息服务I
12,801200,商业贸易I
13,801230,综合I
14,801140,轻工制造I
15,801080,电子I
16,801030,化工I
17,801100,信息设备I
18,801190,金融服务I
19,801210,休闲服务I
20,801070,机械设备I
21,801150,医药生物I
22,801040,钢铁I
23,801740,国防军工I
24,801770,通信I
25,801750,计算机I
26,801890,机械设备I
27,801710,建筑材料I
28,801780,银行I
29,801760,传媒I
30,801880,汽车I
31,801720,建筑装饰I
32,801790,非银金融I
33,801730,电气设备I
34,801950,煤炭I
35,801980,美容护理I
36,801970,环保I
37,801960,石油石化I
